date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-02-03,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-03,California,State,Gamma,0.0,0.0,0.71428571428,0.10945709282
2021-02-03,California,State,Epsilon,795.0,74.16,460.28571428571,70.53415061296
2021-02-04,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-04,California,State,Other,104.0,20.19,146.57142857142,24.295524508643
2021-02-04,California,State,Beta,0.0,0.0,0.14285714285,0.023679848449
2021-02-04,California,State,Alpha,15.0,2.91,14.42857142857,2.391664693346
2021-02-04,California,State,Omicron,0.0,0.0,0.14285714285,0.023679848449
2021-02-04,California,State,Delta,0.0,0.0,0.14285714285,0.023679848449
2021-02-04,California,State,Epsilon,396.0,76.89,441.57142857142,73.194411555766
2021-02-04,California,State,Gamma,0.0,0.0,0.28571428571,0.047359696898
2021-02-04,California,State,Total,515.0,100.0,603.28571428571,100.0
2021-02-04,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-05,California,State,Omicron,0.0,0.0,0.14285714285,0.023288309269
2021-02-05,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-05,California,State,Epsilon,184.0,65.48,447.0,72.86911970191
2021-02-05,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-05,California,State,Alpha,23.0,8.19,16.28571428571,2.654867256637
2021-02-05,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-05,California,State,Beta,0.0,0.0,0.14285714285,0.023288309269
2021-02-05,California,State,Total,281.0,100.0,613.42857142857,100.0
2021-02-05,California,State,Other,74.0,26.33,149.85714285714,24.429436422916
2021-02-05,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-06,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-06,California,State,Other,94.0,24.54,159.42857142857,24.409448818898
2021-02-06,California,State,Omicron,0.0,0.0,0.14285714285,0.021872265967
2021-02-06,California,State,Epsilon,274.0,71.54,475.28571428571,72.769028871391
2021-02-06,California,State,Total,383.0,100.0,653.14285714285,100.0
2021-02-06,California,State,Delta,0.0,0.0,0.0,0.0
2021-02-06,California,State,Beta,0.0,0.0,0.14285714285,0.021872265967
2021-02-06,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-06,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-06,California,State,Alpha,15.0,3.92,18.14285714285,2.777777777778
2021-02-07,California,State,Omicron,0.0,0.0,0.0,0.0
2021-02-07,California,State,Alpha,4.0,1.85,18.42857142857,2.839533348008
2021-02-07,California,State,Gamma,0.0,0.0,0.0,0.0
2021-02-07,California,State,Other,42.0,19.44,153.85714285714,23.706801672903
2021-02-07,California,State,Epsilon,169.0,78.24,476.42857142857,73.409641206251
2021-02-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-02-07,California,State,Beta,0.0,0.0,0.14285714285,0.022011886419
2021-02-07,California,State,Total,216.0,100.0,649.0,100.0
2021-02-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-02-07,California,State,Delta,1.0,0.46,0.14285714285,0.022011886419
